prompt,target
"` Film aficionados can not help but love Cinema Paradiso , whether the original version or new Director 's Cut . '",1
"You come away from his film overwhelmed , hopeful and , perhaps paradoxically , illuminated .",1
The script manages the rare trick of seeming at once both refreshingly different and reassuringly familiar .,1
"Works hard to establish rounded characters , but then has nothing fresh or particularly interesting to say about them .",0
"You emerge dazed , confused as to whether you 've seen pornography or documentary .",0
"For VeggieTales fans , this is more appetizing than a side dish of asparagus .",1
A tasty masala .,1
"This rich , bittersweet Israeli documentary , about the life of song-and-dance-man Pasach ` ke Burstein and his family , transcends ethnic lines .",1
Anyone who ever fantasized about space travel but ca n't afford the $ 20 million ticket to ride a Russian rocket should catch this IMAX offering .,1
"It would be churlish to begrudge anyone for receiving whatever consolation that can be found in Dragonfly , yet it is impossible to find the film anything but appalling , shamelessly manipulative and contrived , and totally lacking in conviction .",0
Those with a modicum of patience will find in these characters ' foibles a timeless and unique perspective .,1
"He does n't , however , deliver nearly enough of the show 's trademark style and flash .",0
A little more intensity and a little less charm would have saved this film a world of hurt .,0
"But though he only scratches the surface , at least he provides a strong itch to explore more .",1
"While I ca n't say it 's on par with the first one , Stuart Little 2 is a light , fun cheese puff of a movie .",1
"Secret Ballot is a funny , puzzling movie ambiguous enough to be engaging and oddly moving .",1
"A deft , delightful mix of sulky teen drama and overcoming-obstacles sports-movie triumph .",1
For dance completists only .,0
"Hatosy ... portrays young Brendan with his usual intelligence and subtlety , not to mention a convincing brogue .",1
"The fascination comes in the power of the Huston performance , which seems so larger than life and yet so fragile , and in the way the Ivan character accepts the news of his illness so quickly but still finds himself unable to react .",1
"In the end , the movie collapses on its shaky foundation despite the best efforts of director Joe Carnahan .",0
"Although fairly involving as far as it goes , the film does n't end up having much that is fresh to say about growing up Catholic or , really , anything .",0
"It represents better-than-average movie-making that does n't demand a dumb , distracted audience .",1
"A film really has to be exceptional to justify a three hour running time , and this is n't .",0
The movie is without intent .,0
"Leave it to the French to truly capture the terrifying angst of the modern working man without turning the film into a cheap thriller , a dumb comedy or a sappy melodrama .",1
"Nair 's cast is so large it 's Altman-esque , but she deftly spins the multiple stories in a vibrant and intoxicating fashion .",1
"The movie is brilliant , really .",1
"The weight of the piece , the unerring professionalism of the chilly production , and the fascination embedded in the lurid topic prove recommendation enough .",1
It should be mentioned that the set design and interiors of the haunted vessel are more than effectively creepy and moodily lit .,1
"The film is old-fashioned , occasionally charming and as subtle as boldface .",1
Daughter From Danang reveals that efforts toward closure only open new wounds .,0
"Further proof that the epicenter of cool , beautiful , thought-provoking foreign cinema is smack-dab in the middle of Dubya 's Axis of Evil .",1
( The film 's ) taste for `` shock humor '' will wear thin on all but those weaned on the comedy of Tom Green and the Farrelly Brothers .,0
This is one of those war movies that focuses on human interaction rather than battle and action sequences ... and it 's all the stronger because of it .,1
"Juliette Binoche 's Sand is vivacious , but it 's hard to sense that powerhouse of 19th-century prose behind her childlike smile .",1
"Charlie Hunnam has the twinkling eyes , repressed smile and determined face needed to carry out a Dickensian hero .",1
"Several uninteresting , unlikeable people do bad things to and with each other in `` Unfaithful . ''",0
"Alas , getting there is not even half the interest .",0
"For its seriousness , high literary aspirations and stunning acting , the film can only be applauded .",1
"With the dog days of August upon us , think of this dog of a movie as the cinematic equivalent of high humidity .",0
"The art direction is often exquisite , and the anthropomorphic animal characters are beautifully realized through clever makeup design , leaving one to hope that the eventual DVD release will offer subtitles and the original Italian-language soundtrack .",1
"There 's no conversion effort , much of the writing is genuinely witty and both stars are appealing enough to probably have a good shot at a Hollywood career , if they want one .",1
"The film contains no good jokes , no good scenes , barely a moment when Carvey 's Saturday Night Live-honed mimicry rises above the level of embarrassment .",0
"A fascinating , bombshell documentary that should shame Americans , regardless of whether or not ultimate blame finally lies with Kissinger .",1
"Unfortunately , One Hour Photo lives down to its title .",0
"Not only a reminder of how they used to make movies , but also how they sometimes still can be made .",1
Impostor is a step down for director Gary Fleder .,0
Offers a breath of the fresh air of true sophistication .,1
"No , it 's not nearly as good as any of its influences .",0
"This is a shameless sham , calculated to cash in on the popularity of its stars .",0
The movie is a trove of delights .,1
"Aside from Rohmer 's bold choices regarding point of view , The Lady and the Duke represents the filmmaker 's lifelong concern with formalist experimentation in cinematic art .",1
"Though this saga would be terrific to read about , it is dicey screen material that only a genius should touch .",1
Steven Soderbergh does n't remake Andrei Tarkovsky 's Solaris so much as distill it .,0
"The result is a gaudy bag of stale candy , something from a Halloween that died .",0
Often hilarious .,1
"There 's some good material in their story about a retail clerk wanting more out of life , but the movie too often spins its wheels with familiar situations and repetitive scenes .",0
"Captures all the longing , anguish and ache , the confusing sexual messages and the wish to be a part of that elusive adult world .",1
Features one of the most affecting depictions of a love affair ever committed to film .,1
"You would n't want to live waydowntown , but it is a hilarious place to visit .",1
Is n't it great ?,1
"The story is predictable , the jokes are typical Sandler fare , and the romance with Ryder is puzzling .",0
The film is a travesty of the genre and even as spoof takes itself too seriously .,0
"Expect no major discoveries , nor any stylish sizzle , but the film sits with square conviction and touching good sense on the experience of its women .",1
( A ) stale retread of the '53 original .,0
This painfully unfunny farce traffics in tired stereotypes and encumbers itself with complications ... that have no bearing on the story .,0
"Myers never knows when to let a gag die ; thus , we 're subjected to one mind-numbingly lengthy riff on poo and pee jokes after another .",0
"We assume he had a bad run in the market or a costly divorce , because there is no earthly reason other than money why this distinguished actor would stoop so low .",0
"No , it 's not as single-minded as John Carpenter 's original , but it 's sure a lot smarter and more unnerving than the sequels .",1
Constantly slips from the grasp of its maker .,0
"If you 're over 25 , have an IQ over 90 , and have a driver 's license , you should be able to find better entertainment .",0
"Aloof and lacks any real raw emotion , which is fatal for a film that relies on personal relationships .",0
"The production has been made with an enormous amount of affection , so we believe these characters love each other .",1
Stiff and schmaltzy and clumsily directed .,0
"Some Body will take you places you have n't been , and also places you have .",1
"Barney has created a tour de force that is weird , wacky and wonderful .",1
Intriguing documentary which is emotionally diluted by focusing on the story 's least interesting subject .,1
"One of those pictures whose promising , if rather precious , premise is undercut by amateurish execution .",0
Matters play out realistically if not always fairly .,1
May be spoofing an easy target -- those old ' 50 's giant creature features -- but ... it acknowledges and celebrates their cheesiness as the reason why people get a kick out of watching them today .,1
And they succeed merrily at their noble endeavor .,1
"Director Paul Cox 's unorthodox , abstract approach to visualizing Nijinsky 's diaries is both stimulating and demanding .",1
"The streets , shot by cinematographer Michael Ballhaus , may be as authentic as they are mean , but it is nearly impossible to care about what happens on them .",0
There 's much tongue in cheek in the film and there 's no doubt the filmmaker is having fun with it all .,1
"Once the expectation of laughter has been quashed by whatever obscenity is at hand , even the funniest idea is n't funny .",0
"Unfortunately , Heartbreak Hospital wants to convey the same kind of haughtiness in its own sketchy material but this territory has already been explored previously with better aplomb and sardonic wit .",0
"Spectacularly beautiful , not to mention mysterious , sensual , emotionally intense , and replete with virtuoso throat-singing .",1
"You may think you have figured out the con and the players in this debut film by Argentine director Fabian Bielinsky , but while you were thinking someone made off with your wallet .",0
Writer-director Juan Carlos Fresnadillo makes a feature debut that is fully formed and remarkably assured .,1
A moody horror/thriller elevated by deft staging and the director 's well-known narrative gamesmanship .,1
"It 's Tommy 's job to clean the peep booths surrounding her , and after viewing this one , you 'll feel like mopping up , too .",0
"A captivatingly quirky hybrid of character portrait , romantic comedy and beat-the-clock thriller .",1
"Making such a tragedy the backdrop to a love story risks trivializing it , though Chouraqui no doubt intended the film to affirm love 's power to help people endure almost unimaginable horror .",1
Unflinchingly bleak and desperate,0
The film 's center will not hold .,0
Adam Sandler is to Gary Cooper what a gnat is to a racehorse .,0
"Places a slightly believable love triangle in a difficult-to-swallow setting , and then disappointingly moves the story into the realm of an improbable thriller .",0
"MacDowell ... gives give a solid , anguished performance that eclipses nearly everything else she 's ever done .",1
A solid film ... but more conscientious than it is truly stirring .,1
"Birthday Girl lucks out with Chaplin and Kidman , who are capable of anteing up some movie star charisma when they need it to sell us on this twisted love story , but who can also negotiate the movie 's darker turns .",1
Provides a very moving and revelatory footnote to the Holocaust .,1
Filmmaker Tian Zhuangzhuang triumphantly returns to narrative filmmaking with a visually masterful work of quiet power .,1
Miyazaki is one of world cinema 's most wondrously gifted artists and storytellers .,1
"( Cho 's face is ) an amazing slapstick instrument , creating a scrapbook of living mug shots .",1
Trying to make head or tail of the story in the hip-hop indie Snipes is enough to give you brain strain -- and the pay-off is negligible .,0
"This re-do is so dumb and so exploitative in its violence that , ironically , it becomes everything that the rather clumsy original was railing against .",0
"Adroit but finally a trifle flat , Mad Love does n't galvanize its outrage the way , say , Jane Campion might have done , but at least it possesses some .",0
( A ) shapeless blob of desperate entertainment .,0
"In fact , it 's quite fun in places .",1
Quick : who wants to see a comedy about shoddy airport security ?,0
"Combines sharp comedy , old-fashioned monster movie atmospherics , and genuine heart to create a film that 's not merely about kicking undead *** , but also about dealing with regret and , ultimately , finding redemption .",1
"Sitting in the third row of the IMAX cinema at Sydney 's Darling Harbour , but I sometimes felt as though I was in the tiny two seater plane that carried the giant camera around Australia , sweeping and gliding , banking and hovering over some of the most not",1
"Evelyn may be based on a true and historically significant story , but the filmmakers have made every effort to disguise it as an unimaginative screenwriter 's invention .",0
This angst-ridden territory was covered earlier and much better in Ordinary People .,0
It 's sweet .,1
"Slap me , I saw this movie .",0
"It 's not nearly as fresh or enjoyable as its predecessor , but there are enough high points to keep this from being a complete waste of time .",1
"Stuffed to the brim with ideas , American instigator Michael Moore 's film is a rambling examination of American gun culture that uses his usual modus operandi of crucifixion through juxtaposition .",1
"A mix of velocity and idiocy , this ruinous remake lacks the brawn -- and the brains -- of the 1970s original .",0
Devoid of any of the qualities that made the first film so special .,0
"A celebration of quirkiness , eccentricity , and certain individuals ' tendency to let it all hang out , and damn the consequences .",1
`` Extreme Ops '' exceeds expectations .,1
"It does nothing new with the old story , except to show fisticuffs in this sort of stop-go slow motion that makes the gang rumbles look like they 're being streamed over a 28K modem .",0
Extremely dumb .,0
"We never truly come to care about the main characters and whether or not they 'll wind up together , and Michele 's spiritual quest is neither amusing nor dramatic enough to sustain interest .",0
"Off the Hook is overlong and not well-acted , but credit writer-producer-director Adam Watstein with finishing it at all .",0
A prison comedy that never really busts out of its comfy little cell .,0
It 's the chemistry between the women and the droll scene-stealing wit and wolfish pessimism of Anna Chancellor that makes this `` Two Weddings and a Funeral '' fun .,1
City by the Sea is a gritty police thriller with all the dysfunctional family dynamics one could wish for .,1
"The screenplay , co-written by director Imogen Kimmel , lacks the wit necessary to fully exploit the comic elements of the premise , making the proceedings more bizarre than actually amusing .",0
"If the plot seems a bit on the skinny side , that 's because Panic Room is interested in nothing more than sucking you in ... and making you sweat .",1
It 's one heck of a character study -- not of Hearst or Davies but of the unique relationship between them .,1
"Instead of hiding Pinocchio from critics , Miramax should have hidden it from everyone .",0
He thinks the film is just as much a document about him as it is about the subject .,0
"Snoots will no doubt rally to its cause , trotting out threadbare standbys like ` masterpiece ' and ` triumph ' and all that malarkey , but rarely does an established filmmaker so ardently waste viewers ' time with a gobbler like this .",0
`` 13 Conversations About One Thing '' is an intelligent flick that examines many different ideas from happiness to guilt in an intriguing bit of storytelling .,1
But the characters tend to be cliches whose lives are never fully explored .,0
"A silly , self-indulgent film about a silly , self-indulgent filmmaker .",0
"What with all the blanket statements and dime-store ruminations on vanity , the worries of the rich and sudden wisdom , the film becomes a sermon for most of its running time .",0
Too bad .,0
"If you love Motown music , you 'll love this documentary .",1
"A brisk , reverent , and subtly different sequel .",1
"Famuyiwa 's feature deals with its subject matter in a tasteful , intelligent manner , rather than forcing us to endure every plot contrivance that the cliché-riddled genre can offer .",1
"Perhaps it 's cliche to call the film ` refreshing , ' but it is .",1
"Without heavy-handedness , Dong provides perspective with his intelligent grasp of human foibles and contradictions .",1
"Notwithstanding my problem with the movie 's final half hour , I 'm going to recommend SECRETARY , based on the wonderful acting clinic put on by Spader and Gyllenhaal , and also the unique way Shainberg goes about telling what at heart is a sweet little girl -",1
The modern-day royals have nothing on these guys when it comes to scandals .,0
The result is an ` action film ' mired in stasis .,0
"A superfluous sequel ... plagued by that old familiar feeling of ` let 's get this thing over with ' : Everyone has shown up at the appointed time and place , but visible enthusiasm is mighty hard to find .",0
"Lathan and Diggs have considerable personal charm , and their screen rapport makes the old story seem new .",1
Manages to show life in all of its banality when the intention is quite the opposite .,0
It leaves little doubt that Kidman has become one of our best actors .,1
Director Claude Chabrol has become the master of innuendo .,1
"Now , if it only had a brain .",0
"George Clooney , in his first directorial effort , presents this utterly ridiculous shaggy dog story as one of the most creative , energetic and original comedies to hit the screen in years .",1
"With a completely predictable plot , you 'll swear that you 've seen it all before , even if you 've never come within a mile of The Longest Yard .",0
It finds no way to entertain or inspire its viewers .,0
"Now it 's a bad , embarrassing movie .",0
"The Mothman Prophecies , which is mostly a bore , seems to exist only for its climactic setpiece .",0
"The picture seems uncertain whether it wants to be an acidic all-male All About Eve or a lush , swooning melodrama in the Intermezzo strain .",0
If Steven Soderbergh 's ` Solaris ' is a failure it is a glorious failure .,1
Enough similarities to Gymkata and Howie Long 's Firestorm that my fingernails instinctively crawled towards my long-suffering eyeballs .,0
"Subversive , meditative , clinical and poetic , The Piano Teacher is a daring work of genius .",1
This seductive tease of a thriller gets the job done .,1
The biggest problem with Satin Rouge is Lilia herself .,0
"It has the air of a surprisingly juvenile lark , a pop-influenced prank whose charms are immediately apparent and wear thin with repetition .",0
"What will , most likely , turn out to be the most repellent movie of 2002 .",0
"The film falls short on tension , eloquence , spiritual challenge -- things that have made the original New Testament stories so compelling for 20 centuries .",0
"This is a finely written , superbly acted offbeat thriller .",1
Jaglom offers the none-too-original premise that everyone involved with moviemaking is a con artist and a liar .,0
"An effectively creepy , fear-inducing ( not fear-reducing ) film from Japanese director Hideo Nakata , who takes the superstitious curse on chain letters and actually applies it .",1
"A comprehensive and provocative film -- one that pushes the boundaries of biography , and challenges its audience .",1
A low-key labor of love that strikes a very resonant chord .,1
"In addition to Hoffman 's powerful acting clinic , this is that rare drama that offers a thoughtful and rewarding glimpse into the sort of heartache everyone has felt , or will feel someday .",1
No amount of blood and disintegrating vampire cadavers can obscure this movie 's lack of ideas .,0
"A whole lot of fun and funny in the middle , though somewhat less hard-hitting at the start and finish .",1
"The movie has a script ( by Paul Pender ) made of wood , and it 's relentlessly folksy , a procession of stagy set pieces stacked with binary oppositions .",0
"Portentous and pretentious , The Weight of Water is appropriately titled , given the heavy-handedness of it drama .",0
"A gob of drivel so sickly sweet , even the eager consumers of Moore 's pasteurized ditties will retch it up like rancid crème brûlée .",0
"Despite its lavish formalism and intellectual austerity , the film manages to keep you at the edge of your seat with its shape-shifting perils , political intrigue and brushes with calamity .",1
A simmering psychological drama in which the bursts of sudden violence are all the more startling for the slow buildup that has preceded them .,1
It 's not the ultimate Depression-era gangster movie .,0
The acting is n't much better .,0
"Not really a thriller so much as a movie for teens to laugh , groan and hiss at .",0
A TV style murder mystery with a few big screen moments ( including one that seems to be made for a different film altogether ) .,0
Peppered with witty dialogue and inventive moments .,1
A sophomoric exploration of ` life problems ' most people solved long ago -- or at least got tired of hearing people kvetch about .,0
... too sappy for its own good .,0
"Without non-stop techno or the existential overtones of a Kieslowski morality tale , Maelström is just another Winter Sleepers .",0
It makes you believe the cast and crew thoroughly enjoyed themselves and believed in their small-budget film .,1
"When you 've got the wildly popular Vin Diesel in the equation , it adds up to big box office bucks all but guaranteed .",1
"a quiet , pure , elliptical film",1
The rare movie that 's as crisp and to the point as the novel on which it 's based .,1
"Even if you do n't think ( Kissinger 's ) any more guilty of criminal activity than most contemporary statesmen , he 'd sure make a courtroom trial great fun to watch .",1
"I liked the original short story but this movie , even at an hour and twenty-some minutes , it 's too long and it goes nowhere .",0
"While Benigni ( who stars and co-wrote ) seems to be having a wonderful time , he might be alone in that .",0
Rashomon-for-dipsticks tale .,0
Visually captivating .,1
"In its chicken heart , Crush goes to absurd lengths to duck the very issues it raises .",0
Reggio and Glass put on an intoxicating show .,1
It would n't be my preferred way of spending 100 minutes or $ 7.00 .,0
Jirí Hubac 's script is a gem .,1
"Occasionally , in the course of reviewing art-house obscurities and slam-bam action flicks , a jaded critic smacks into something truly new .",1
"Devos and Cassel have tremendous chemistry -- their sexual and romantic tension , while never really vocalized , is palpable .",1
Just plain bad .,0
"Director Alfonso Cuaron gets vivid , convincing performances from a fine cast , and generally keeps things going at a rapid pace , occasionally using an omniscient voice-over narrator in the manner of French New Wave films .",1
"Contrived as this may sound , Mr. Rose 's updating works surprisingly well .",1
Tackles the difficult subject of grief and loss with such life-embracing spirit that the theme does n't drag an audience down .,1
Uneven but a lot of fun .,1
You 'll just have your head in your hands wondering why Lee 's character did n't just go to a bank manager and save everyone the misery .,0
The only entertainment you 'll derive from this choppy and sloppy affair will be from unintentional giggles -- several of them .,0
"Unsurprisingly , the way this all works out makes the women look more like stereotypical caretakers and moral teachers , instead of serious athletes .",0
Watching Beanie and his gang put together his slasher video from spare parts and borrowed materials is as much fun as it must have been for them to make it .,1
Marshall puts a suspenseful spin on standard horror flick formula .,1
"Arliss Howard 's ambitious , moving , and adventurous directorial debut , Big Bad Love , meets so many of the challenges it poses for itself that one can forgive the film its flaws .",1
Mr. Koshashvili is a director to watch .,1
Gloriously goofy ( and gory ) midnight movie stuff .,1
"Visually rather stunning , but ultimately a handsome-looking bore , the true creativity would have been to hide Treasure Planet entirely and completely reimagine it .",0
Nothing in Waking Up in Reno ever inspired me to think of its inhabitants as anything more than markers in a screenplay .,0
Easily one of the best and most exciting movies of the year .,1
My Wife Is an Actress works as well as it does because ( the leads ) are such a companionable couple .,1
"It 's dumb , but more importantly , it 's just not scary .",0
"The more you think about the movie , the more you will probably like it .",1
"Watching Scarlet Diva , one is poised for titillation , raw insight or both .",1
( Westbrook ) makes a wonderful subject for the camera .,1
The all-French cast is marveilleux .,1
Blood Work is laughable in the solemnity with which it tries to pump life into overworked elements from Eastwood 's Dirty Harry period .,0
"For a film that 's being advertised as a comedy , Sweet Home Alabama is n't as funny as you 'd hoped .",0
The film lapses too often into sugary sentiment and withholds delivery on the pell-mell pyrotechnics its punchy style promises .,0
The film will play equally well on both the standard and giant screens .,1
"As is often the case with ambitious , eager first-time filmmakers , Mr. Murray , a prolific director of music videos , stuffs his debut with more plot than it can comfortably hold .",0
"Ultimately , the film never recovers from the clumsy cliché of the ugly American abroad , and the too-frosty exterior Ms. Paltrow employs to authenticate her British persona is another liability .",0
"But if the essence of magic is its make-believe promise of life that soars above the material realm , this is the opposite of a truly magical movie .",0
Australian actor/director John Polson and award-winning English cinematographer Giles Nuttgens make a terrific effort at disguising the obvious with energy and innovation .,1
Consists of a plot and jokes done too often by people far more talented than Ali G,0
The best animated feature to hit theaters since Beauty and the Beast 11 years ago .,1
"An old-fashioned scary movie , one that relies on lingering terror punctuated by sudden shocks and not constant bloodshed punctuated by flying guts .",1
Good actress .,1
Made me unintentionally famous -- as the queasy-stomached critic who staggered from the theater and blacked out in the lobby .,0
A rip-roaring comedy action fest that 'll put hairs on your chest .,1
"The film brilliantly shines on all the characters , as the direction is intelligently accomplished .",1
( L ) ame and unnecessary .,0
"Each scene drags , underscoring the obvious , and sentiment is slathered on top .",0
"Flat , but with a revelatory performance by Michelle Williams .",0
"It ai n't art , by a long shot , but unlike last year 's lame Musketeer , this Dumas adaptation entertains .",1
"It 's plotless , shapeless -- and yet , it must be admitted , not entirely humorless .",0
Both a beautifully made nature film and a tribute to a woman whose passion for this region and its inhabitants still shines in her quiet blue eyes .,1
"His comedy premises are often hackneyed or just plain crude , calculated to provoke shocked laughter , without following up on a deeper level .",0
"A journey spanning nearly three decades of bittersweet camaraderie and history , in which we feel that we truly know what makes Holly and Marina tick , and our hearts go out to them as both continue to negotiate their imperfect , love-hate relationship .",1
"The case is a convincing one , and should give anyone with a conscience reason to pause .",1
"Swimming is above all about a young woman 's face , and by casting an actress whose face projects that woman 's doubts and yearnings , it succeeds .",1
"It 's ( Ricci 's ) best work yet , this girl-woman who sincerely believes she can thwart the world 's misery with blind good will .",1
A film that 's flawed and brilliant in equal measure .,1
The film 's thoroughly recycled plot and tiresome jokes ... drag the movie down .,0
There are scenes of cinematic perfection that steal your heart away .,1
"Is n't quite the equal of Woo 's best earlier work , but it 's easily his finest American film ... comes close to recapturing the brilliance of his Hong Kong films .",1
"We never feel anything for these characters , and as a result the film is basically just a curiosity .",0
About nowhere kids who appropriated turfs as they found them and become self-made celebrity athletes -- a low-down version of the American dream .,1
The events of the film are just so WEIRD that I honestly never knew what the hell was coming next .,0
"Good for a few unintentional laughs , `` Extreme Ops '' was obviously made for the `` XXX '' crowd , people who enjoy mindless action without the benefit of decent acting , writing , and direction .",0
"A moving essay about the specter of death , especially suicide .",1
"An extremely funny , ultimately heartbreaking look at life in contemporary China .",1
"Oscar Wilde 's masterpiece , The Importance of Being Earnest , may be the best play of the 19th century .",1
But what 's nice is that there 's a casual intelligence that permeates the script .,1
"Who knows , but it works under the direction of Kevin Reynolds .",1
A minor picture with a major identity crisis -- it 's sort of true and it 's sort of bogus and it 's ho-hum all the way through .,0
MY LITTLE EYE is the best little `` horror '' movie I 've seen in years .,1
... manages to deliver a fair bit of vampire fun .,1
"A taut , intelligent psychological drama .",1
"While Cherish does n't completely survive its tonal transformation from dark comedy to suspense thriller , it 's got just enough charm and appealing character quirks to forgive that still serious problem .",1
The best film of the year 2002 .,1
A clichéd and shallow cautionary tale about the hard-partying lives of gay men .,0
A high-spirited buddy movie about the reunion of Berlin anarchists who face arrest 15 years after their crime .,1
"If The Full Monty was a freshman fluke , Lucky Break is ( Cattaneo ) sophomore slump .",0
"` Punch-Drunk Love is so convinced of its own brilliance that , if it were a person , you 'd want to smash its face in . '",0
"Immersing us in the endlessly inventive , fiercely competitive world of hip-hop DJs , the project is sensational and revelatory , even if scratching makes you itch .",1
imagine a scenario where Bergman approaches Swedish fatalism using Gary Larson 's Far Side humor,1
"Mr. Parker has brilliantly updated his source and grasped its essence , composing a sorrowful and hilarious tone poem about alienated labor , or an absurdist workplace sitcom .",1
Laggard drama wending its way to an uninspired philosophical epiphany .,0
"Nervy and sensitive , it taps into genuine artistic befuddlement , and at the same time presents a scathing indictment of what drives Hollywood .",1
"More than anything else , Kissing Jessica Stein injects freshness and spirit into the romantic comedy genre , which has been held hostage by generic scripts that seek to remake Sleepless in Seattle again and again .",1
Would that Greengrass had gone a tad less for grit and a lot more for intelligibility .,0
"K-19 will not go down in the annals of cinema as one of the great submarine stories , but it is an engaging and exciting narrative of Man confronting the Demons of his own fear and paranoia .",1
The cast is top-notch and I predict there will be plenty of female audience members drooling over Michael Idemoto as Michael .,1
Spiderman ROCKS,1
"A breezy romantic comedy that has the punch of a good sitcom , while offering exceptionally well-detailed characters .",1
As vulgar as it is banal .,0
Leguizamo and Jones are both excellent and the rest of the cast is uniformly superb .,1
The movie does a good job of laying out some of the major issues that we encounter as we journey through life .,1
"( Swimfan ) falls victim to sloppy plotting , an insultingly unbelievable final act and a villainess who is too crazy to be interesting .",0
But tongue-in-cheek preposterousness has always been part of For the most part Wilde 's droll whimsy helps `` Being Earnest '' overcome its weaknesses and Parker 's creative interference ...,1
What was subtle and mystifying in the novella is now broad and farcical .,0
... there is enough originality in ` Life ' to distance it from the pack of paint-by-number romantic comedies that so often end up on cinema screens .,1
"If this holiday movie is supposed to be a gift , somebody unwrapped it early , took out all the good stuff , and left behind the crap ( literally ) .",0
"A movie that will surely be profane , politically charged music to the ears of Cho 's fans .",1
"The story 's scope and pageantry are mesmerizing , and Mr. Day-Lewis roars with leonine power .",1
This clever caper movie has twists worthy of David Mamet and is enormous fun for thinking audiences .,1
"This is a raw and disturbing tale that took five years to make , and the trio 's absorbing narrative is a heart-wrenching showcase indeed .",1
"A small gem of a movie that defies classification and is as thought-provoking as it is funny , scary and sad .",1
The casting of Raymond J. Barry as the ` assassin ' greatly enhances the quality of Neil Burger 's impressive fake documentary .,1
In comparison to his earlier films it seems a disappointingly thin slice of lower-class London life ; despite the title ... amounts to surprisingly little .,0
"A fine effort , an interesting topic , some intriguing characters and a sad ending .",1
"This movie is so bad , that it 's almost worth seeing because it 's so bad .",0
"The nonstop artifice ultimately proves tiresome , with the surface histrionics failing to compensate for the paper-thin characterizations and facile situations .",0
"The latest installment in the Pokemon canon , Pokemon 4ever is surprising less moldy and trite than the last two , likely because much of the Japanese anime is set in a scenic forest where Pokemon graze in peace .",1
"As played by Ryan Gosling , Danny is a frighteningly fascinating contradiction .",1
"This toothless Dog , already on cable , loses all bite on the big screen .",0
"This tale has been told and retold ; the races and rackets change , but the song remains the same .",0
"Full of detail about the man and his country , and is well worth seeing .",1
It 's tough to be startled when you 're almost dozing .,0
Combines a comically dismal social realism with a farcically bawdy fantasy of redemption and regeneration .,1
But it 's worth the concentration .,1
"Miller is playing so free with emotions , and the fact that children are hostages to fortune , that he makes the audience hostage to his swaggering affectation of seriousness .",1
Strange occurrences build in the mind of the viewer and take on extreme urgency .,1
"This road movie gives you emotional whiplash , and you 'll be glad you went along for the ride .",1
Solondz is so intent on hammering home his message that he forgets to make it entertaining .,0
"Everything about Girls Ca n't Swim , even its passages of sensitive observation , feels secondhand , familiar -- and not in a good way .",0
"In all fairness , I must report that the children of varying ages in my audience never coughed , fidgeted or romped up and down the aisles for bathroom breaks .",1
"Bogdanovich taps deep into the Hearst mystique , entertainingly reenacting a historic scandal .",1
... too contrived to be as naturally charming as it needs to be .,0
"Highlights are the terrific performances by Christopher Plummer , as the prime villain , and Nathan Lane as Vincent Crummles , the eccentric theater company manager .",1
"The film becomes an overwhelming pleasure , and you find yourself rooting for Gai 's character to avoid the fate that has befallen every other Carmen before her .",1
Intimate and panoramic .,1
"Even as lame horror flicks go , this is lame .",0
"Imagine the CleanFlicks version of ` Love Story , ' with Ali MacGraw 's profanities replaced by romance-novel platitudes .",0
"... routine , harmless diversion and little else .",1
"The fact is that the screen is most alive when it seems most likely that Broomfield 's interviewees , or even himself , will not be for much longer .",1
One of the most depressing movie-going experiences I can think of is to sit through about 90 minutes of a so-called ` comedy ' and not laugh once .,0
"Stephen Rea , Aidan Quinn , and Alan Bates play Desmond 's legal eagles , and when joined by Brosnan , the sight of this grandiloquent quartet lolling in pretty Irish settings is a pleasant enough thing , ` tis .",1
A fanciful drama about Napoleon 's last years and his surprising discovery of love and humility .,1
A sleek advert for youthful anomie that never quite equals the sum of its pretensions .,0
"Full of profound , real-life moments that anyone can relate to , it deserves a wide audience .",1
Bound to appeal to women looking for a howlingly trashy time .,1
"The charm of the first movie is still there , and the story feels like the logical , unforced continuation of the careers of a pair of spy kids .",1
Richly entertaining and suggestive of any number of metaphorical readings .,1
A woman 's pic directed with resonance by Ilya Chaiken .,1
An imaginative comedy/thriller .,1
The Hours is what movies are supposed to be ...,1
"Like a marathon runner trying to finish a race , you need a constant influx of liquid just to get through it .",0
just not campy enough,0
With its parade of almost perpetually wasted characters ... Margarita feels like a hazy high that takes too long to shake .,0
"feeling to it , but like the 1920 's , the trip there is a great deal of fun .",1
What it lacks in substance it makes up for in heart .,1
... the film suffers from a lack of humor ( something needed to balance out the violence ) ...,0
"A creepy , intermittently powerful study of a self-destructive man ... about as unsettling to watch as an exploratory medical procedure or an autopsy .",1
"As the latest bid in the TV-to-movie franchise game , I Spy makes its big-screen entry with little of the nervy originality of its groundbreaking small-screen progenitor .",0
"This cheery , down-to-earth film is warm with the cozy feeling of relaxing around old friends .",1
Brings an irresistible blend of warmth and humor and a consistent embracing humanity in the face of life 's harshness .,1
"The holes in this film remain agape -- holes punched through by an inconsistent , meandering , and sometimes dry plot .",0
"Richard Pryor mined his personal horrors and came up with a treasure chest of material , but Lawrence gives us mostly fool 's gold .",0
"Contrived , awkward and filled with unintended laughs , the film shows signs that someone other than the director got into the editing room and tried to improve things by making the movie go faster .",0
Slap her - she 's not funny !,0
